model,target,n_features,f1_macro,balanced_accuracy,f1_weighted,fecha,n_errors
MLP,codigo_ghi,14,1.0,1.0,1.0,2024-12-20,0
HistGradientBoostingClassifier,codigo_dni,18,1.0,1.0,1.0,2024-12-20,0
HistGradientBoostingClassifier,codigo_dhi,21,1.0,1.0,1.0,2024-12-20,0
MLP,codigo_ghi,14,1.0,1.0,1.0,2024-12-21,0
HistGradientBoostingClassifier,codigo_dni,18,1.0,1.0,1.0,2024-12-21,0
HistGradientBoostingClassifier,codigo_dhi,21,1.0,1.0,1.0,2024-12-21,0
MLP,codigo_ghi,14,1.0,1.0,1.0,2024-12-22,0
HistGradientBoostingClassifier,codigo_dni,18,1.0,1.0,1.0,2024-12-22,0
HistGradientBoostingClassifier,codigo_dhi,21,1.0,1.0,1.0,2024-12-22,0
MLP,codigo_ghi,14,0.4993045897079277,0.5,0.995835265028589,2024-12-23,4
HistGradientBoostingClassifier,codigo_dni,18,1.0,1.0,1.0,2024-12-23,0
HistGradientBoostingClassifier,codigo_dhi,21,0.4993045897079277,0.5,0.995835265028589,2024-12-23,4
MLP,codigo_ghi,14,1.0,1.0,1.0,2024-12-24,0
HistGradientBoostingClassifier,codigo_dni,18,0.4989561586638831,0.5,0.9937543493389005,2024-12-24,6
HistGradientBoostingClassifier,codigo_dhi,21,1.0,1.0,1.0,2024-12-24,0
MLP,codigo_ghi,14,1.0,1.0,1.0,2024-12-25,0
HistGradientBoostingClassifier,codigo_dni,18,1.0,1.0,1.0,2024-12-25,0
HistGradientBoostingClassifier,codigo_dhi,21,1.0,1.0,1.0,2024-12-25,0
MLP,codigo_ghi,14,1.0,1.0,1.0,2024-12-26,0
HistGradientBoostingClassifier,codigo_dni,18,0.49808295573370515,0.5,0.988556310754812,2024-12-26,11
HistGradientBoostingClassifier,codigo_dhi,21,1.0,1.0,1.0,2024-12-26,0
MLP,codigo_ghi,14,1.0,1.0,1.0,2024-12-27,0
HistGradientBoostingClassifier,codigo_dni,18,1.0,1.0,1.0,2024-12-27,0
HistGradientBoostingClassifier,codigo_dhi,21,1.0,1.0,1.0,2024-12-27,0
MLP,codigo_ghi,14,1.0,1.0,1.0,2024-12-28,0
HistGradientBoostingClassifier,codigo_dni,18,0.49843260188087773,0.5,0.9906347962382446,2024-12-28,9
HistGradientBoostingClassifier,codigo_dhi,21,1.0,1.0,1.0,2024-12-28,0
MLP,codigo_ghi,14,1.0,1.0,1.0,2024-12-29,0
HistGradientBoostingClassifier,codigo_dni,18,1.0,1.0,1.0,2024-12-29,0
HistGradientBoostingClassifier,codigo_dhi,21,1.0,1.0,1.0,2024-12-29,0
MLP,codigo_ghi,14,1.0,1.0,1.0,2024-12-30,0
HistGradientBoostingClassifier,codigo_dni,18,1.0,1.0,1.0,2024-12-30,0
HistGradientBoostingClassifier,codigo_dhi,21,1.0,1.0,1.0,2024-12-30,0
MLP,codigo_ghi,14,1.0,1.0,1.0,2024-12-31,0
HistGradientBoostingClassifier,codigo_dni,18,1.0,1.0,1.0,2024-12-31,0
HistGradientBoostingClassifier,codigo_dhi,21,1.0,1.0,1.0,2024-12-31,0
