target,f1_previous,f1_production,balanced_accuracy_previous,balanced_accuracy_production
codigo_ghi,0.8082281604228658,0.640891706649926,0.7724880717357414,0.6077717904250078
codigo_dni,0.6447535253592788,0.5863130478858442,0.635020822413097,0.5517828387393605
codigo_dhi,0.5162229349068038,0.44371262666851496,0.5308675821606984,0.6544642802364251
