model,target,n_features,f1_macro,balanced_accuracy,f1_weighted
MLP,codigo_ghi,14,0.640891706649926,0.6077717904250078,0.8315960515664058
HistGradientBoostingClassifier,codigo_dni,18,0.5863130478858442,0.5517828387393605,0.9377968341762613
HistGradientBoostingClassifier,codigo_dhi,21,0.44371262666851496,0.6544642802364251,0.7340926287351701
